a.user,a.choice,b.user,b.choice,end
yourmomisawhorehole,Swerve,theferretmafialeader,Swerve,Both /u/yourmomisawhorehole and /u/theferretmafialeader safely swerve.
kerune,Hit the gas,crappylaptop,Swerve,/u/kerune gets to call /u/crappylaptop a chicken.
lonelyoldcatlady,Swerve,reoll,Swerve,Both /u/lonelyoldcatlady and /u/reoll safely swerve.
pepsilover1,Hit the gas,moderatelysalted,Hit the gas,Both /u/pepsilover1 and /u/moderatelysalted crash and die.
pohtahtohg,Swerve,penis,Hit the gas,/u/penis gets to call /u/pohtahtohg a chicken.
skarm137,Swerve,65rytg,Hit the gas,/u/65rytg gets to call /u/skarm137 a chicken.
crenaani,Hit the gas,wheatking01,Hit the gas,Both /u/crenaani and /u/wheatking01 crash and die.
public_compliance,Swerve,firejoule,Swerve,Both /u/public_compliance and /u/firejoule safely swerve.
nemesys2005,Swerve,pixel871,Hit the gas,/u/pixel871 gets to call /u/nemesys2005 a chicken.
sovietvvinter,Swerve,evilsalmon,Hit the gas,/u/evilsalmon gets to call /u/sovietvvinter a chicken.
whisdeth,Swerve,internetadventurer,Swerve,Both /u/whisdeth and /u/internetadventurer safely swerve.
auramgold,Swerve,h3be_,Swerve,Both /u/auramgold and /u/h3be_ safely swerve.
xor50,Hit the gas,browniebrown,Hit the gas,Both /u/xor50 and /u/browniebrown crash and die.
shastafargo,Swerve,redeyedchester,Hit the gas,/u/redeyedchester gets to call /u/shastafargo a chicken.
orthanit,Hit the gas,dirtydan413,Swerve,/u/orthanit gets to call /u/dirtydan413 a chicken.
andydandy162,Hit the gas,97ft,Hit the gas,Both /u/andydandy162 and /u/97ft crash and die.
rhazior,Swerve,mentos68,Hit the gas,/u/mentos68 gets to call /u/rhazior a chicken.
noobhunter777,Swerve,skretsch,Swerve,Both /u/noobhunter777 and /u/skretsch safely swerve.
netherlewis,Swerve,nullomore,Swerve,Both /u/netherlewis and /u/nullomore safely swerve.
coltonhoover,Swerve,aloneapart,Swerve,Both /u/coltonhoover and /u/aloneapart safely swerve.
catriona27,Swerve,cg5,Hit the gas,/u/cg5 gets to call /u/catriona27 a chicken.
xangria,Swerve,cookieburger,Hit the gas,/u/cookieburger gets to call /u/xangria a chicken.
quiethi,Hit the gas,zonination,Hit the gas,Both /u/quiethi and /u/zonination crash and die.
mrdugong,Hit the gas,bookworm144,Hit the gas,Both /u/mrdugong and /u/bookworm144 crash and die.
goatcrew,Swerve,the_future_is_wild,Hit the gas,/u/the_future_is_wild gets to call /u/goatcrew a chicken.
songstressindistress,Swerve,weston1108,Swerve,Both /u/songstressindistress and /u/weston1108 safely swerve.
calibaan,Hit the gas,nephdaddy8,Swerve,/u/calibaan gets to call /u/nephdaddy8 a chicken.
tj6795,Hit the gas,shaveslavers,Hit the gas,Both /u/tj6795 and /u/shaveslavers crash and die.
wakub,Hit the gas,dwightallright,Swerve,/u/wakub gets to call /u/dwightallright a chicken.
gerard_bebru,Swerve,finbarwrong,Hit the gas,/u/finbarwrong gets to call /u/gerard_bebru a chicken.
sdsafdf,Hit the gas,screamingvulcan,Hit the gas,Both /u/sdsafdf and /u/screamingvulcan crash and die.
apoptopsicle,Swerve,homoredditus,Hit the gas,/u/homoredditus gets to call /u/apoptopsicle a chicken.
passerby5,Swerve,pablothemexican7,Swerve,Both /u/passerby5 and /u/pablothemexican7 safely swerve.
d,Swerve,lordllamahat,Swerve,Both /u/d and /u/lordllamahat safely swerve.
genericusernameno2,Swerve,redtheta,Swerve,Both /u/genericusernameno2 and /u/redtheta safely swerve.
dottydani,Swerve,topol_m1,Swerve,Both /u/dottydani and /u/topol_m1 safely swerve.
mongooset,Hit the gas,kmrst,Hit the gas,Both /u/mongooset and /u/kmrst crash and die.
bitch_is_cray_cray,Hit the gas,mynameisclaire,Swerve,/u/bitch_is_cray_cray gets to call /u/mynameisclaire a chicken.
mrballoon_hands,Swerve,onesixtyseven,Swerve,Both /u/mrballoon_hands and /u/onesixtyseven safely swerve.
blooor,Hit the gas,a5yl,Hit the gas,Both /u/blooor and /u/a5yl crash and die.
makingitpurple,Swerve,arthuresque,Swerve,Both /u/makingitpurple and /u/arthuresque safely swerve.
lemmyk,Swerve,sircutry,Swerve,Both /u/lemmyk and /u/sircutry safely swerve.
pm_me_cute_pugs,Swerve,johnnysmart,Swerve,Both /u/pm_me_cute_pugs and /u/johnnysmart safely swerve.
nauntynienel,Hit the gas,alaskansky,Swerve,/u/nauntynienel gets to call /u/alaskansky a chicken.
1585881,Swerve,lacoguil,Hit the gas,/u/lacoguil gets to call /u/1585881 a chicken.
avarangian,Hit the gas,sofiboy,Hit the gas,Both /u/avarangian and /u/sofiboy crash and die.
negativedeadbabies,Swerve,dermaxpower,Swerve,Both /u/negativedeadbabies and /u/dermaxpower safely swerve.
etk canadian,Hit the gas,macbeth554,Swerve,/u/etk canadian gets to call /u/macbeth554 a chicken.
nstarz,Hit the gas,platonic_void,Swerve,/u/nstarz gets to call /u/platonic_void a chicken.
