a.user|a.choice|b.user|b.choice|end
jeray2000|Peace|tashalovessharks|Peace|Both /u/jeray2000 and /u/tashalovessharks live together in an uneasy peace.
4rewq|Peace|eyebrowsforeveryone|Nuke|/u/eyebrowsforeveryone strikes first, but with /u/4rewq's Second Strike protocol, both get annihilated.
samjam2098|Peace|scholar_requesting|Peace|Both /u/samjam2098 and /u/scholar_requesting live together in an uneasy peace.
legosp7|Peace|gonumen|Nuke|/u/gonumen strikes first, but with /u/legosp7's Second Strike protocol, both get annihilated.
anotherturingmachine|Peace|crocostix|Peace|Both /u/anotherturingmachine and /u/crocostix live together in an uneasy peace.
dragonheart000|Peace|97ft|Nuke|/u/97ft strikes first, but with /u/dragonheart000's Second Strike protocol, both get annihilated.
makingitpurple|Peace|twa7|Peace|Both /u/makingitpurple and /u/twa7 live together in an uneasy peace.
tridentboy|Nuke|unicornbomber|Peace|/u/tridentboy strikes first, but with /u/unicornbomber's Second Strike protocol, both get annihilated.
nerosmith|Nuke|onesixtyseven|Peace|/u/nerosmith strikes first, but with /u/onesixtyseven's Second Strike protocol, both get annihilated.
imlikesocool|Peace|edihau|Peace|Both /u/imlikesocool and /u/edihau live together in an uneasy peace.
the_glass_cannon|Nuke|endemiclegacy|Peace|/u/the_glass_cannon strikes first, but with /u/endemiclegacy's Second Strike protocol, both get annihilated.
blooor|Peace|thegeneralx|Peace|Both /u/blooor and /u/thegeneralx live together in an uneasy peace.
thomas6785|Peace|spectral-k|Peace|Both /u/thomas6785 and /u/spectral-k live together in an uneasy peace.
zangler|Peace|aido46|Peace|Both /u/zangler and /u/aido46 live together in an uneasy peace.
jas175|Peace|gintarazimu|Peace|Both /u/jas175 and /u/gintarazimu live together in an uneasy peace.
chthonicirrigation|Peace|seriyes|Peace|Both /u/chthonicirrigation and /u/seriyes live together in an uneasy peace.
rhazior|Peace|redpon3|Peace|Both /u/rhazior and /u/redpon3 live together in an uneasy peace.
metroid_slayer|Peace|rhyschew|Peace|Both /u/metroid_slayer and /u/rhyschew live together in an uneasy peace.
internetadventurer|Peace|hellsing73|Peace|Both /u/internetadventurer and /u/hellsing73 live together in an uneasy peace.
backdoor_sliders|Peace|zackattackz|Peace|Both /u/backdoor_sliders and /u/zackattackz live together in an uneasy peace.
marsulta|Peace|nstarz|Peace|Both /u/marsulta and /u/nstarz live together in an uneasy peace.
-rosemallow|Nuke|dwightallright|Nuke|Both /u/-rosemallow and /u/dwightallright strike, and both get annihilated.
uconnhusky|Peace|weston1108|Peace|Both /u/uconnhusky and /u/weston1108 live together in an uneasy peace.
dermaxpower|Peace|smathering|Peace|Both /u/dermaxpower and /u/smathering live together in an uneasy peace.
alecksphillips|Peace|elitepenguin4|Peace|Both /u/alecksphillips and /u/elitepenguin4 live together in an uneasy peace.
arthuresque|Nuke|evilsalmon|Peace|/u/arthuresque strikes first, but with /u/evilsalmon's Second Strike protocol, both get annihilated.
33yor3|Peace|albertr7|Peace|Both /u/33yor3 and /u/albertr7 live together in an uneasy peace.
sofiboy|Peace|nat-cat|Peace|Both /u/sofiboy and /u/nat-cat live together in an uneasy peace.
mr_yogurt|Peace|justsomedikdik|Peace|Both /u/mr_yogurt and /u/justsomedikdik live together in an uneasy peace.
